epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.3744412144312854,1.2887990962848266,0.7181729439518425,0.7322580645161291,0.3513553793108343,0.46693016132496973,0.37079124162132737,0.458317325360453,0.45123562474823853,0.5933274928528234,3e-06
2,1.2772829080436747,1.2391235906666098,0.7345237126820141,0.7715370018975332,0.4739076716747387,0.5179711843281056,0.478877444742008,0.5091822588171107,0.5944984597161894,0.6741954423798493,1.1999999999999999e-05
3,1.235977576037492,1.2335499111570036,0.7435532416822582,0.7685009487666035,0.49504751792800417,0.47590570732342374,0.5024219583035336,0.4878041286591743,0.624607277283124,0.6536176063044546,2.1e-05
4,1.214757333670312,1.2650365888733113,0.7498983161148621,0.7886148007590132,0.5166981923460587,0.4503839620808298,0.5253919112235523,0.4831803002951883,0.6467519428535823,0.6521970820983727,3e-05
5,1.168952643948886,1.2445739925699397,0.7578703327096722,0.7722960151802657,0.5618534530849353,0.5037302450100746,0.5691567856550702,0.4857150225900907,0.6778017081391066,0.6663908167498822,2.984732162821399e-05
6,1.1230800538457537,1.25545319800585,0.7661270641828682,0.7819734345351044,0.6030147450573662,0.5054984827078228,0.6079697442164138,0.5168582625014775,0.7003969208874664,0.6752883123956688,2.939239460421746e-05
7,1.0746892183682106,1.2436697652715434,0.7806068494265029,0.6975332068311195,0.6454951444644198,0.5371556619371969,0.6442939466748353,0.5133589907149381,0.7272342981246096,0.6332603113530282,2.8644479930317776e-05
8,1.0075457635368428,1.27070615703286,0.7943951842511998,0.7633776091081594,0.6990666390347559,0.47841224893396117,0.6917938508027573,0.5114704333260305,0.7545881881133883,0.6549367694768409,2.7618802992467718e-05
9,0.9402475347455307,1.3389253167545094,0.8182705604815749,0.6827324478178368,0.7512349583286817,0.48965097497960725,0.7396052836279763,0.47960649376829767,0.7860712931051625,0.5883725761785665,2.6336243615313872e-05
10,0.8788872498933753,1.3971527438009939,0.8384853168469861,0.7614800759013283,0.7918066064508452,0.4462254963238365,0.7752534800289587,0.4819701271109261,0.8068905205165351,0.6474603681769253,2.482291100917928e-05
11,0.8102626740898524,1.3716334409460398,0.8638656145774017,0.7381404174573055,0.8352818276588186,0.4989375533978741,0.8187842286831793,0.510094317929267,0.8342896616744078,0.6465255995994301,2.3109612261833963e-05
12,0.747532475889723,1.4531806261761138,0.8888798503213211,0.7654648956356737,0.8688540418913749,0.4729920959382188,0.85174245402785,0.49981060986534587,0.8626673389878683,0.6571228512107352,2.12312251950283e-05
13,0.6961817922297752,1.4442204524262807,0.9104775075246075,0.7428842504743833,0.893426596431242,0.4838366280224296,0.880741280489814,0.4916462852278096,0.882676714217419,0.6247542561695245,1.9225988352621448e-05
