Metric,M11,M12,M11_to_M12_difference
QWK,0.7694803786764735,0.7853709591080099,0.01589058043153646
Macro-F1,0.5476663200726931,0.5670320158216526,0.01936569574895952
Balanced accuracy,0.5164739970015635,0.5552859452469294,0.038811948245365935
Accuracy,0.8258064516129032,0.8172675521821632,-0.008538899430740043
MAE,0.24364326375711576,0.247438330170778,0.003795066413662229
Large-grade error rate,0.0633776091081594,0.06072106261859583,-0.002656546489563573
Mild F1,0.15730337078651685,0.1996779388083736,0.04237456802185674
Moderate F1,0.6378227494766224,0.6391752577319587,0.0013525082553362822
Severe F1,0.37168141592920356,0.4354243542435424,0.06374293831433886
PDR F1,0.6524064171122995,0.6461538461538462,-0.0062525709584533296
Mild -> No DR count,295.0,272.0,-23.0
Severe -> Moderate count,70.0,54.0,-16.0
