epoch,learning_rate,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_qwk,val_mae,val_within_one_grade_accuracy,val_large_grade_error_rate,skipped_optimizer_steps
1,5e-06,1.357208101862685,1.20724699945106,0.7394686907020873,0.2294065324038213,0.21991038561489215,0.2646524429815369,0.47267552182163186,0.8212523719165086,0.17874762808349146,0
2,1.9999999999999998e-05,1.0828158723360584,0.9270574612115321,0.789753320683112,0.4931189049092109,0.4951831249408453,0.6835089918662787,0.3267552182163188,0.8884250474383302,0.11157495256166983,0
3,3.5e-05,0.9391028791566634,0.8396616004789125,0.8100569259962049,0.5385569461060064,0.5386441813882784,0.7395209168422938,0.2834914611005693,0.9121442125237191,0.08785578747628084,0
4,5e-05,0.8795510497719067,0.8248007627660002,0.798292220113852,0.5631446426461773,0.5498777017574555,0.7636406695969415,0.27552182163187855,0.9333965844402277,0.0666034155597723,0
5,4.9745536047023324e-05,0.8096243020071022,0.8125264701965411,0.8250474383301708,0.4958981458610353,0.5279121176443449,0.7690986053764534,0.2430740037950664,0.9368121442125237,0.06318785578747628,0
6,4.898732434036244e-05,0.7499342637486137,0.8062424353110044,0.8172675521821632,0.5552859452469294,0.5670320158216526,0.7853709591080099,0.247438330170778,0.9392789373814042,0.06072106261859583,0
7,4.774079988386296e-05,0.6839313422846637,0.822755800993438,0.8155597722960152,0.5037452576144077,0.5377911063679742,0.7670496303677602,0.2523719165085389,0.9364326375711575,0.0635673624288425,0
8,4.6031338320779534e-05,0.6182613723488526,0.8328189296898851,0.8170777988614801,0.5365064162618772,0.5664286709930417,0.7702971443520175,0.2523719165085389,0.9352941176470588,0.06470588235294118,0
9,4.3893739358856455e-05,0.5472776662859238,0.9197988218696791,0.8083491461100569,0.4967075069146823,0.5308697888206683,0.7592532885875671,0.25692599620493356,0.9394686907020873,0.060531309297912714,0
10,4.137151834863213e-05,0.46580417455242745,0.910577925423291,0.777988614800759,0.5386719864160213,0.5593675105815389,0.7461912110781362,0.2903225806451613,0.9371916508538899,0.06280834914611005,1
11,3.851602043638994e-05,0.3769257572871,1.0503658477612816,0.7937381404174573,0.5155228397974577,0.5405781851188121,0.7543887660426312,0.2730550284629981,0.9385199240986717,0.06148007590132827,0
12,3.5385375325047166e-05,0.298641363140185,1.1140743185866773,0.7975332068311195,0.5446411345111744,0.5606490091769702,0.7588907802183055,0.27438330170777986,0.9333965844402277,0.0666034155597723,0
13,3.2043313921035743e-05,0.22650024458666132,1.3034265716024718,0.8104364326375711,0.531317594026808,0.5425186611992328,0.7586448622156998,0.2662239089184061,0.9299810246679316,0.07001897533206831,1
