Metric,M10,M12,M10_to_M12_difference
QWK,0.7523200474059573,0.7853709591080099,0.033050911702052654
Macro-F1,0.5421773470496181,0.5670320158216526,0.02485466877203457
Balanced accuracy,0.5463900114246681,0.5552859452469294,0.008895933822261282
Accuracy,0.8055028462998103,0.8172675521821632,0.0117647058823529
MAE,0.2747628083491461,0.247438330170778,-0.02732447817836814
Large-grade error rate,0.07286527514231499,0.06072106261859583,-0.01214421252371916
Mild F1,0.1206581352833638,0.1996779388083736,0.07901980352500979
Moderate F1,0.5895627644569816,0.6391752577319587,0.049612493274977076
Severe F1,0.45714285714285713,0.4354243542435424,-0.021718502899314707
PDR F1,0.6358974358974359,0.6461538461538462,0.010256410256410331
Mild -> No DR count,306.0,272.0,-34.0
Severe -> Moderate count,,54.0,
