epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.3517999708589463,1.2702468619174705,0.7255348572358252,0.7578747628083492,0.3668356288251537,0.4663468626601362,0.38656503392075414,0.4654146000812361,0.48238551020811116,0.6025967957974705,3e-06
2,1.2754233965481558,1.2231246544694991,0.7448547954120232,0.7859582542694498,0.4627172452448841,0.47509265787417354,0.47602865929590293,0.49205299812783565,0.5948123577648169,0.6682725893917917,1.1999999999999999e-05
3,1.2486680259563396,1.2336379951951173,0.7476205970877735,0.7772296015180266,0.48155309592343604,0.4381867808544877,0.49581814109068273,0.4651970028146787,0.6159116482013358,0.6355345753581898,2.1e-05
4,1.2261657422857115,1.2609263116087361,0.7495729276824209,0.7884250474383302,0.5009474187644216,0.4212445832256425,0.5164528343343521,0.4707517343644246,0.629395827772085,0.6247252946680419,3e-05
5,1.187957552139146,1.2557563171214805,0.7627104856422354,0.789943074003795,0.5402989689668833,0.4245232687743211,0.5603644233054433,0.45387819354236536,0.6684224041729913,0.6342770350545772,2.984732162821399e-05
6,1.1480586433744233,1.253909367718778,0.7633612625071179,0.788045540796964,0.5729697002448724,0.479200784127111,0.5855473245757199,0.493398336965779,0.6820393154802739,0.6646222049218438,2.939239460421746e-05
7,1.0950139584673593,1.2628109913397108,0.7786951923859107,0.698292220113852,0.6210529269202736,0.5260082045091137,0.6286207911155519,0.5083481817911628,0.7169136320814453,0.6424333326288443,2.8644479930317776e-05
8,1.0314207586718083,1.296831820766659,0.7974457008053364,0.784819734345351,0.6682746028805159,0.46660594340355843,0.673851720147846,0.47972241884170896,0.7465581809741026,0.6592205703262878,2.7618802992467718e-05
9,0.965271697976868,1.3580630993707357,0.8218498332384284,0.7774193548387097,0.7253288112003549,0.4398378591558437,0.7277480109681385,0.4744248010038613,0.7777948463667805,0.6432760128262794,2.6336243615313872e-05
