model,macro_auc,macro_auc_sklearn_ovr,micro_auc,n_test_images
EfficientNet-B4,0.7930233374883306,0.7928259202657367,0.8665006715179184,5270
DeiT-III,0.8410241127955191,0.8408220465312434,0.9414676537199933,5270
MaxViT-Tiny M12,0.8856010300127042,0.8853791986877182,0.9605689629098869,5270
