epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.332125409250873,1.2716370487575062,0.7255755307898805,0.7764705882352941,0.40452171145980814,0.4582352196798153,0.42254401956868504,0.4570609220646361,0.5175666303494202,0.6340882203249868,5e-06
2,1.2637318040301935,1.2651815684063386,0.7444073863174164,0.788045540796964,0.4777248495217362,0.4685991191661033,0.485638704957745,0.46158605546490356,0.616010993425982,0.6545080957707421,1.9999999999999998e-05
3,1.2329043577018577,1.2600623325333424,0.7493695599121452,0.796584440227704,0.49493996539960483,0.4313187011764635,0.5037167158914705,0.4611491744865944,0.6396759008442205,0.6356555418541068,3.5e-05
4,1.2122906800894355,1.296755895804635,0.752786138452778,0.7825426944971537,0.520517041406314,0.41077330929759864,0.5276570433364385,0.4575262542184945,0.6548555344942814,0.6215293893906407,5e-05
5,1.1683034667120815,1.2511392173097526,0.7605954608313674,0.7823529411764706,0.5532260770917198,0.4876709395833158,0.5644857553142212,0.48906551585025515,0.6789759214992428,0.6569560322322135,4.9745536047023324e-05
6,1.1278880701144194,1.2631087131246896,0.7731635890344098,0.7857685009487666,0.5934050562504927,0.4569122091360313,0.600647085949032,0.4720986001461302,0.7075412429553198,0.6584691678628818,4.898732434036244e-05
7,1.0744424784706188,1.2588533444015533,0.785691043683397,0.7341555977229601,0.640679890003987,0.494890249385507,0.6433015182386251,0.4935080554137178,0.7352597832333289,0.6393661262281631,4.774079988386296e-05
8,1.0121793914663582,1.2811322356989534,0.7969982917107297,0.7582542694497154,0.6945433184377368,0.45595960956634496,0.6897664513880231,0.4788121490829974,0.757567671698459,0.6275378205419114,4.6031338320779534e-05
9,0.9436402523245113,1.313115371653432,0.8199788497518913,0.7286527514231499,0.7401741269480034,0.45621301466817854,0.7320563259170286,0.4707858541155459,0.7905934345975552,0.6241278028707621,4.3893739358856455e-05
10,0.8672607356398622,1.4192825472558472,0.8439355730903766,0.7544592030360532,0.7931981053158548,0.44169708152483234,0.7789544924213446,0.467788720354546,0.8199687828324556,0.6377426208403616,4.137151834863213e-05
11,0.7826759949136205,1.44062336726252,0.8748881477263484,0.759392789373814,0.8426724809540616,0.48406596732932095,0.8279796824972202,0.5000616880489304,0.8504584191858919,0.650888231569032,3.851602043638994e-05
12,0.7224711040576577,1.482697951499606,0.8975026437810136,0.7451612903225806,0.8756811111383389,0.46197432024145224,0.8612058330640291,0.4905452210397897,0.8697087693990136,0.6287593523053775,3.5385375325047166e-05
13,0.6618093320160296,1.5293322725133154,0.9211746522411128,0.7590132827324478,0.9068553811700915,0.4628314998051623,0.8952714984856749,0.4864661469495786,0.8943173724190283,0.6374676434637168,3.2043313921035743e-05
