epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.2800384293073441,1.123406516080563,0.7194744976816074,0.7444022770398482,0.22784585765409232,0.2827053183301169,0.22175499155770978,0.2702446212413029,0.23168974359507644,0.48250021050527314,5e-06
2,1.035498581594557,0.9555338377744469,0.7457496136012365,0.7946869070208729,0.43725267004046264,0.4718350232803591,0.44412900260053634,0.48489301028166115,0.591589717933523,0.6745504038250135,1.9999999999999998e-05
3,0.8867497279977019,0.9212517788107074,0.7809322378589442,0.7798861480075902,0.5406331239257346,0.5310826665750181,0.5470444658661887,0.4981842421904689,0.7031559092016195,0.6973124342791397,3.5e-05
4,0.7535478656740754,0.9282761987291658,0.8018384446432929,0.7535104364326376,0.6382121951565769,0.5258421718600236,0.6332906672355723,0.5188718868756484,0.7671188177381736,0.6885752438995372,5e-05
5,0.5490724365210636,1.1062640833899915,0.8510127714959733,0.7787476280834915,0.759373765745384,0.49254716469621423,0.7466883262765891,0.5101449682407466,0.8363811535238659,0.6992996847975925,4.9745536047023324e-05
6,0.32300955654136104,1.3001391536596831,0.9138940860652404,0.7159392789373814,0.8719454939985984,0.5416744959357416,0.8567251463406791,0.5292211468613788,0.9027376935224163,0.6964414270578547,4.898732434036244e-05
7,0.17723009576249005,1.8067043856380107,0.9557064996339381,0.7290322580645161,0.931517576840541,0.5317758402904705,0.9258160586861528,0.4908339293013523,0.9424900088190398,0.6586485937410214,4.774079988386296e-05
8,0.12175342712304679,2.2435612823298126,0.9714471650532823,0.7461100569259962,0.951740877414602,0.5265732620834437,0.949306200412026,0.5224064148651066,0.9623041965514256,0.6661048677676737,4.6031338320779534e-05
9,0.0916329542323653,2.7126397618758835,0.9802733262832506,0.7588235294117647,0.9691970224045233,0.5072924333598249,0.9674661823309441,0.5048550954358793,0.9746818717932021,0.6951191258418277,4.3893739358856455e-05
10,0.07770819248017029,3.437230894371047,0.9851948263239242,0.8003795066413663,0.975058708424891,0.473999212142418,0.9737633505689096,0.509129610104257,0.9805501738539854,0.6929761119760565,4.137151834863213e-05
11,0.06102024153573969,3.500397900945774,0.988855446188888,0.8005692599620493,0.9823294271109508,0.5100163851974454,0.9817778242011762,0.5235430507000043,0.9854715033343807,0.7185971415915234,3.851602043638994e-05
12,0.04779043696577691,3.8109719607137866,0.9913772065403075,0.793168880455408,0.9849619825110494,0.4519159108270758,0.9845383449433098,0.4908913425946416,0.9898888064111097,0.6904276784450073,3.5385375325047166e-05
13,0.03963306159481755,4.097742930218662,0.9930448222565688,0.8055028462998103,0.9894147790653636,0.48788610772819174,0.9883130309655955,0.5095088432799082,0.9907906340913716,0.7136823322310928,3.2043313921035743e-05
14,0.030353659253063884,4.105456417923408,0.9953225412836574,0.7859582542694498,0.9919928711855167,0.49328521562644767,0.9920537259540471,0.5196180041306773,0.9946284080186146,0.6940002271559927,2.8557870956832125e-05
15,0.017210173060515022,4.405672071373666,0.997356218986415,0.8034155597722961,0.9958142582027347,0.48301817886529114,0.9955934329530951,0.522639055225363,0.9966697287827253,0.7098403800756695,2.5000000000000005e-05
16,0.010702633938872415,4.257933853337615,0.9982917107296836,0.7821631878557874,0.9974515627718787,0.5048909186500415,0.9972503180149065,0.5219051262509744,0.9978727257753649,0.7061483121775236,2.144212904316787e-05
17,0.007431970804438481,4.543487947127399,0.9985764256080696,0.7922201138519924,0.9984175847097425,0.4822268711800858,0.9979855903204904,0.5114137351773747,0.9980877707956165,0.7102250056377943,1.7956686078964252e-05
18,0.006534405716742496,4.767445980665579,0.9988611404864557,0.8020872865275143,0.9978179716992048,0.5000679417816289,0.9975040963055232,0.5220012311684894,0.9988826477673008,0.7101369326306493,1.4614624674952839e-05
