Metric,M09,M11,Difference
QWK,0.7484632630050575,0.7694803786764735,0.021017115671415953
Macro-F1,0.5558250363004786,0.5476663200726931,-0.008158716227785523
Balanced accuracy,0.5315478967995169,0.5164739970015635,-0.015073899797953372
Mild F1,0.14010507880910683,0.15730337078651685,0.01719829197741002
Moderate F1,0.6227630637079457,0.6378227494766224,0.015059685768676778
Severe F1,0.4777327935222672,0.37168141592920356,-0.10605137759306366
PDR F1,0.631578947368421,0.6524064171122995,0.0208274697438785
MAE,0.2652751423149905,0.24364326375711576,-0.02163187855787474
Large-grade error rate,0.0713472485768501,0.0633776091081594,-0.007969639468690698
