epoch,learning_rate,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_qwk,val_mae
1,5e-06,1.3818107188732234,1.2276264753920756,0.7442125237191651,0.2603765321000592,0.2658387624031745,0.3652393102952669,0.45009487666034154
2,1.9999999999999998e-05,1.081907586595423,0.9579394696446478,0.7962049335863378,0.4522178701638138,0.4810375682609506,0.6811928031513007,0.31385199240986716
3,3.5e-05,0.9395980510924623,0.9087897924815908,0.8106261859582543,0.48876037936666916,0.5370082915373853,0.744114172374236,0.2618595825426945
4,5e-05,0.8692621296405172,0.8560715472788694,0.8206831119544592,0.5345751241965533,0.5423719955017375,0.7601938678459342,0.26129032258064516
5,4.9745536047023324e-05,0.7922567248509276,0.8551233990595055,0.8,0.5369210550721872,0.5628489048911429,0.7639310105431538,0.2666034155597723
6,4.898732434036244e-05,0.7076752198440185,0.889770937508831,0.7459203036053131,0.559252380277841,0.5366481071283926,0.730267578390605,0.32941176470588235
7,4.774079988386296e-05,0.6266735709441801,0.956392894184793,0.7592030360531309,0.5286659695256425,0.54464570780984,0.7449128677256964,0.3
8,4.6031338320779534e-05,0.5238625607832468,1.0885218160258752,0.8258064516129032,0.5164739970015635,0.5476663200726931,0.7694803786764735,0.24364326375711576
9,4.3893739358856455e-05,0.41325182040471015,1.1076999168242179,0.8060721062618595,0.531323277275448,0.552244570369619,0.7615045103851815,0.2645161290322581
10,4.137151834863213e-05,0.33190756164661483,1.1437364673704984,0.7588235294117647,0.5400613842381407,0.5423516902906741,0.7179588862880225,0.32732447817836813
11,3.851602043638994e-05,0.24399001366967715,1.3764374801213985,0.7971537001897533,0.5392627658801605,0.5555497840210972,0.7471630544504506,0.2821631878557875
12,3.5385375325047166e-05,0.1910831718442327,1.5782644926342384,0.7977229601518027,0.5237699674375044,0.5491460707108919,0.7337086252205374,0.2840607210626186
13,3.2043313921035743e-05,0.14598932145300544,1.8254343443354009,0.8055028462998103,0.5079567859853737,0.5375192591822907,0.7391718717014529,0.27628083491461103
14,2.8557870956832125e-05,0.10691320203406965,1.8434458781408405,0.7823529411764706,0.5221162596818772,0.536084190294427,0.7332612711612582,0.3011385199240987
15,2.5000000000000005e-05,0.08278488517953053,2.305166309074529,0.8003795066413663,0.502749915498294,0.5198952953704805,0.7235968863207884,0.2922201138519924
