Metric,M10,M11,Difference
QWK,0.7523200474059573,0.7694803786764735,0.017160331270516194
Macro-F1,0.5421773470496181,0.5476663200726931,0.00548897302307505
Balanced accuracy,0.5463900114246681,0.5164739970015635,-0.029916014423104653
Mild F1,0.1206581352833638,0.15730337078651685,0.036645235503153045
Moderate F1,0.5895627644569816,0.6378227494766224,0.048259985019640794
Severe F1,0.45714285714285713,0.37168141592920356,-0.08546144121365357
PDR F1,0.6358974358974359,0.6524064171122995,0.01650898121486366
MAE,0.2747628083491461,0.24364326375711576,-0.031119544592030368
Large-grade error rate,0.07286527514231499,0.0633776091081594,-0.009487666034155587
