global_epoch,phase,phase_epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate_backbone,learning_rate_head
1,1,1,0.8857651955331676,0.7123673118042991,0.3736979166666667,0.4464895635673624,0.374297102588279,0.4082973350840263,0.37312635391821586,0.2749029610388999,0.492580109756788,0.3004333226349153,0.0,0.0003
2,1,2,0.8225446913857013,0.8272698035502569,0.4001057942708333,0.318595825426945,0.40135195891327874,0.4057907819953167,0.4001767083053768,0.24757026031727242,0.5368877924822806,0.2529498787064458,0.0,0.00029265847744427303
3,1,3,0.8018699270129824,0.6827747080764915,0.4114583333333333,0.4759013282732448,0.4110720175846563,0.4143583250683994,0.409435407515417,0.2971903780874863,0.5453770914651889,0.30672410284361495,0.0,0.0002713525491562421
4,1,4,0.7869638681101302,0.7281384083532518,0.4138997395833333,0.3899430740037951,0.4141396878119227,0.42919279700781965,0.41260052162719585,0.28180501616039677,0.5622252214125818,0.29157407253836176,0.0,0.00023816778784387096
5,1,5,0.7762853355185749,0.7391417447484648,0.4193115234375,0.3717267552182163,0.42088784078758923,0.4112795391633183,0.418934305144713,0.2711077069015592,0.5626521395115884,0.29862039558535136,0.0,0.0001963525491562421
6,1,6,0.778250571883594,0.6559164400118804,0.4168701171875,0.47020872865275143,0.4173450574427221,0.3977601832394133,0.4150809573230779,0.29513220989380157,0.5616458498793127,0.330952565534276,0.0,0.00015
7,1,7,0.7583716910836907,,0.4278564453125,0.40550284629981026,0.4277595205775565,0.403505471135137,0.4256547653582608,0.28899442569748046,0.570182061744906,0.3248052411479172,0.0,0.0001036474508437579
8,1,8,0.7484221004609329,,0.432861328125,0.4696394686907021,0.4334811541848776,0.41406397092809577,0.4309582559523074,0.30140495154492075,0.5708107760081673,0.34066969298997196,0.0,6.183221215612905e-05
9,1,9,0.7505250877778357,,0.434326171875,0.46261859582542697,0.43470709534105795,0.42256322613250835,0.43223441310014615,0.31191415840178266,0.5716225660476135,0.3527368021542867,0.0,2.86474508437579e-05
10,1,10,0.747502496097392,0.6498812187328736,0.4351806640625,0.4442125237191651,0.43556601871725287,0.4301394037236938,0.4332489589825269,0.31395969168731835,0.5704476431987697,0.35054321090682605,0.0,7.341522555726971e-06
11,2,1,0.729602393694222,0.6872479821518205,0.4400634765625,0.4115749525616698,0.4377972919707197,0.4468606266421163,0.4356250173372227,0.2995974598488925,0.5903459470634091,0.33603448789544077,1e-05,0.0001
12,2,2,0.7025350565672852,0.6396750844180923,0.4552408854166667,0.4258064516129032,0.4556045646090432,0.4354682538415441,0.4535301445576062,0.30293640169032554,0.6172082555297614,0.3774997061984512,9.960573506572391e-06,9.96057350657239e-05
13,2,3,0.6756566050850475,,0.4621175130208333,0.5121442125237191,0.4635121848859895,0.4633063092767326,0.46284343579971277,0.34313825322051394,0.6417471465598776,0.4188175998246906,9.842915805643156e-06,9.842915805643155e-05
14,2,4,0.6627892979498332,,0.4768880208333333,0.4889943074003795,0.4758487942586215,0.4669012097556758,0.47487594601427735,0.34644572104686244,0.6559518008978971,0.4091162754789903,9.648882429441258e-06,9.648882429441257e-05
15,2,5,0.6461209408589639,,0.479736328125,0.5161290322580645,0.4793109294717556,0.4648328476857569,0.47855035179061894,0.3435432920183913,0.6630830327054762,0.4236188950296019,9.381533400219319e-06,9.381533400219318e-05
16,2,6,0.6266773793225487,0.5478162708273423,0.4917399088541667,0.5250474383301708,0.4912730305954628,0.48283426562479903,0.49058699646754905,0.37470347597562326,0.6785728260574634,0.45618926251678593,9.045084971874738e-06,9.045084971874738e-05
17,2,7,0.6079914286868492,0.5298788721466426,0.497314453125,0.535483870967742,0.49754173862299356,0.4766379071208246,0.49693462558796453,0.3892437664587596,0.6865539659933793,0.46092876918985204,8.644843137107058e-06,8.644843137107059e-05
18,2,8,0.5858084709616378,,0.5112711588541666,0.4263757115749526,0.5116313783647614,0.4898313683352435,0.5113800338654116,0.35761212203015696,0.7093200812671719,0.44076698586554275,8.18711994874345e-06,8.18711994874345e-05
19,2,9,0.5903542111627758,0.5410628679807543,0.5063883463541666,0.48652751423149904,0.5065827114513878,0.5023402134251603,0.5056390436260161,0.3772496629591963,0.7071746794157583,0.4751639355524423,7.679133974894982e-06,7.679133974894983e-05
