epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,0.8327378537010393,0.7206818031744441,0.731554543235988,0.7580645161290323,0.20842875990387535,0.24041802220500905,0.18996339644310312,0.23287070333950916,0.09543471857100805,0.37556601658580036,5e-06
2,0.6533864430169835,0.6068672831868311,0.7797933783453999,0.8007590132827325,0.3054371647180754,0.3378622046048181,0.3175870678807045,0.3669250587268229,0.5478297981928628,0.6015282238045208,1.9999999999999998e-05
3,0.5506889872682654,0.5656767452464384,0.8186366224680712,0.8161290322580645,0.4507606586896287,0.4848418717987631,0.4825097757347104,0.49365239404258626,0.7087856324123822,0.7263187059390938,3.5e-05
4,0.46737110842785107,0.5729183710503624,0.8466607012120719,0.8191650853889944,0.5407764659968308,0.5161833296293804,0.5699120134593103,0.5182476345623537,0.7892691601056785,0.7425118020234757,5e-05
5,0.34556646043713385,0.6426798318097442,0.8837549825103718,0.8062618595825427,0.6442540237853083,0.4849718310405665,0.682896582832287,0.5131796036783475,0.8718874070223467,0.7196176117119166,4.9745536047023324e-05
6,0.22966054251317058,0.7264267726234059,0.921215325795168,0.8068311195445921,0.7574230858018094,0.5062662593951179,0.794541330876835,0.5225846818922316,0.9242383191976407,0.7299243777991993,4.898732434036244e-05
7,0.14041777943164524,0.9850676846685175,0.9533881070527943,0.740607210626186,0.8503799599418305,0.5470586585700081,0.8734694985016187,0.5416789927866217,0.9575086560118342,0.7136109167455091,4.774079988386296e-05
8,0.08810259729439242,1.1867860632105616,0.9707150410802896,0.7834914611005692,0.9086541834627132,0.4868112890577049,0.9227112442350158,0.5095839440709742,0.9724132773117193,0.7066428959488369,4.6031338320779534e-05
9,0.06657562730277049,1.3990023095196067,0.9792564874318718,0.7836812144212524,0.9391897667887562,0.47530082107122656,0.9473593397441613,0.5175020677293796,0.979448375704208,0.7053756743249162,4.3893739358856455e-05
10,0.04948775046118845,1.581562352813851,0.9854388676482551,0.8045540796963947,0.9593291735749137,0.4780622751288921,0.9657131558625164,0.5090119429678639,0.9845618142350074,0.7140384665243997,4.137151834863213e-05
11,0.038184692117222,1.7499442340526907,0.9896282437159359,0.7998102466793169,0.9742452968130569,0.4811385231294998,0.9780090373777502,0.5168093483732387,0.9897646533829078,0.7122205190358182,3.851602043638994e-05
