epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,0.4348890394285136,0.35731637872034505,0.7326934027495322,0.7574952561669829,0.21271568618377215,0.24581719597211463,0.19776149276448118,0.23848521799148742,0.13298973935914948,0.40247150207596594,5e-06
2,0.3087749482049688,0.2727223893044343,0.7799560725616205,0.8060721062618595,0.35352771697557955,0.40785821781703396,0.3796805678392072,0.4399190127979997,0.5735966018649041,0.6603848398395793,1.9999999999999998e-05
3,0.24889181351764475,0.2649600805096201,0.8170503538599203,0.8085388994307401,0.47448844491274167,0.5098667155018048,0.5012448128727046,0.5024310884157923,0.7149510023514958,0.7257200842420302,3.5e-05
4,0.20337240897069953,0.26589890480380807,0.8417798747254535,0.8045540796963947,0.5534825009023926,0.5255602544766159,0.5797372924738453,0.5073940146043748,0.7834117683947692,0.733525017939269,5e-05
5,0.14204043896824428,0.3008684222680115,0.8762710485642236,0.7952561669829222,0.6525683520394571,0.48603139589741584,0.6853059669688868,0.487791626802246,0.8564214799545753,0.7029679989599826,4.9745536047023324e-05
6,0.08547783196627012,0.3798791585995531,0.9137720654030749,0.8003795066413663,0.7581141825672474,0.498855691416731,0.7938739930309088,0.512964853206327,0.9123101731960555,0.7092355750463718,4.898732434036244e-05
7,0.04738282631677534,0.4473033100649347,0.9508663467013748,0.7946869070208729,0.861375372267801,0.48870914774085056,0.8879331061091831,0.5134755349625996,0.9549492020340938,0.7160893999847524,4.774079988386296e-05
8,0.028303849935012053,0.5572481472137079,0.9691694460261938,0.8022770398481973,0.9238333337987339,0.45822578663060043,0.936327228734368,0.5012900037673879,0.9700902309246493,0.7030946003037248,4.6031338320779534e-05
9,0.01848400624470324,0.6630285377577089,0.9805173676075816,0.7692599620493359,0.9522645598897282,0.4922538019242159,0.9598466252054181,0.5254448927739894,0.9795817569037367,0.7053541518026574,4.3893739358856455e-05
10,0.011729684111547886,0.7640929248431376,0.9875538924591231,0.8043643263757115,0.9695688880322006,0.5029087111844938,0.9739716274847978,0.5120843861419659,0.9863480845219785,0.7333234796744466,4.137151834863213e-05
11,0.009978751418444152,0.8693461604697579,0.9911331652159766,0.8089184060721063,0.9816392480005722,0.5194516154444587,0.9841882549161083,0.5165646743611356,0.9906646314443052,0.7289564479650232,3.851602043638994e-05
