epoch,phase,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate_backbone,learning_rate_head,phase_epoch
1,1,1.4894439278651241,1.4363292338952167,0.6973074107215489,0.7328273244781783,0.22449156807861076,0.24959154250391094,0.22118587734140965,0.25479968888501425,0.16617555812521456,0.2761606858728086,0.0,0.0001,
2,1,1.4244907479886264,1.4091006689325003,0.71617993980314,0.7250474383301708,0.2837279180718741,0.2946209877815,0.2884565967720524,0.3036343992460443,0.3395864090447335,0.37302916652585916,0.0,0.0001,
3,1,1.4029554558335586,1.4050875580061997,0.7191491092491662,0.7368121442125237,0.32097115899392153,0.2889196933098936,0.33011953786810844,0.3043633407687455,0.39257739415967263,0.35258845348701706,0.0,0.0001,
4,2,1.321877972740081,1.2680758245529666,0.7266737167493695,0.7903225806451613,0.4302995190303352,0.41260007691233325,0.4402223554241499,0.4461085177295646,0.5410603844998338,0.6195744370482277,3e-05,0.0001,1.0
5,2,1.2350736027047853,1.3045158257746832,0.7494102334662003,0.5686907020872866,0.4991300944765298,0.4868969474124641,0.5110272173201216,0.4635681098606727,0.6208810057144147,0.49722154542545727,2.984732162821399e-05,9.949107209404665e-05,2.0
6,2,1.1856170841416573,1.2270143639204398,0.7573822500610103,0.7901328273244782,0.5436390389664603,0.45878278585727583,0.5523245167983531,0.4889687757118075,0.6674431310188371,0.6652208568287967,2.939239460421746e-05,9.797464868072488e-05,3.0
7,2,1.143564923546792,1.269977074148985,0.7662490848450337,0.7698292220113852,0.5828627671541919,0.48642219698003597,0.5909004165808003,0.5077971658342836,0.6916422983437844,0.6630638482068127,2.8644479930317776e-05,9.548159976772592e-05,4.0
8,2,1.0801380822688214,1.2707975495246149,0.7828032213454812,0.7643263757115749,0.638292073863291,0.47047507864835814,0.6408367463757777,0.49486858443991677,0.7299058024673364,0.6489294084406876,2.7618802992467718e-05,9.206267664155907e-05,5.0
9,2,1.021975195340956,1.2867561440314017,0.7967542503863988,0.710056925996205,0.6817778176419426,0.5315599982611934,0.6821183582344441,0.48607964635634326,0.7549996193525389,0.6209174294478199,2.6336243615313872e-05,8.778747871771291e-05,6.0
10,2,0.9498892986948027,1.3247077199041957,0.8162368827788172,0.7409867172675522,0.74100444399259,0.49325258159042296,0.7324854368978915,0.504523727956588,0.7861636573140366,0.6455459862125135,2.482291100917928e-05,8.274303669726426e-05,7.0
11,2,0.8860997708579033,1.352491433887373,0.8382006019686,0.7419354838709677,0.784495919127795,0.48608919340302154,0.7719120137186677,0.49518871001933806,0.8117682095711849,0.6393304684519757,2.3109612261833963e-05,7.703204087277988e-05,8.0
12,2,0.819501415538718,1.3933934224398359,0.8630928170503539,0.7597722960151803,0.8262831613711425,0.46597852767532394,0.8118685347012151,0.4941719250501985,0.8352199617538504,0.6522271553200303,2.12312251950283e-05,7.077075065009433e-05,9.0
13,2,0.7571888362227741,1.417181918109843,0.8859920279834052,0.7311195445920303,0.8629727018342223,0.4904640918783931,0.8470866832011582,0.5044369348917305,0.8631277696803652,0.6410699534385222,1.9225988352621448e-05,6.408662784207149e-05,10.0
