variant,in_sample_qwk,oof_qwk,optimism_gap
A,0.7859477715968505,0.7859477715968505,0.0
B,0.7830709629443787,0.7829647566217857,0.00010620632259306095
C,0.7973266642743567,0.7884704590657483,0.008856205208608414
D,0.7917080388466529,0.7914214681888004,0.0002865706578524252
