class,precision,recall,f1,support
No DR,0.8776077885952712,0.9775367931835787,0.9248809087577867,3873
Mild,0.35051546391752575,0.09239130434782608,0.14623655913978495,368
Moderate,0.7350299401197605,0.61375,0.6689373297002725,800
Severe,0.4672897196261682,0.3937007874015748,0.42735042735042733,127
Proliferative DR,0.7738095238095238,0.6372549019607843,0.6989247311827957,102
