fold,n_held_out,temperature_EfficientNet-B4,temperature_DeiT-III,temperature_M07,temperature_M09,temperature_M10,temperature_M11,temperature_M12,global_weight_EfficientNet-B4,global_weight_DeiT-III,global_weight_M07,global_weight_M09,global_weight_M10,global_weight_M11,global_weight_M12
0,1054,0.5800411093870792,0.6630864665015572,1.0220927857637365,1.022636801994774,1.014268518630995,1.415610586287727,0.9014179626724108,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857
1,1054,0.5621944279473786,0.6600865360443137,1.025877067665348,1.0269952083681104,1.0220910153342404,1.431065071662937,0.9083559380782695,0.0,0.0,0.2,0.0,0.2,0.4,0.2
2,1054,0.5623123152022943,0.6624801282900361,1.0061259684586787,1.018778710744972,1.0109600933520706,1.3979099076488246,0.8887599106061211,0.0,0.0,0.2,0.0,0.2,0.4,0.2
3,1054,0.5615417130927695,0.6565987652231428,0.994523864278455,1.0100340508609726,1.006497890311756,1.4035881199275992,0.8913976602483238,0.125,0.0,0.25,0.0,0.125,0.25,0.25
4,1054,0.5683689201249198,0.6591652723918406,1.0047751312770508,1.0101724367345628,1.013657246969653,1.415650139414667,0.8859966082225669,0.0,0.0,0.0,0.0,0.25,0.25,0.5
