variant,qwk,macro_f1,balanced_accuracy,accuracy,mae,within_one_grade_accuracy,large_grade_error_rate,nll,ece,brier
A,0.7859477715968505,0.5700470331705285,0.5493475479525147,0.8356736242884251,0.2318785578747628,0.9366223908918406,0.0633776091081594,0.5703418141498434,0.1336935707734743,0.2877236283133921
B,0.7829647566217857,0.5662160951706868,0.5456897073893343,0.8337760910815939,0.23510436432637571,0.9351043643263757,0.06489563567362429,0.5565201181453316,0.11316180357541393,0.2841541244136845
C,0.7884704590657483,0.5709134564055072,0.5524004091616124,0.8351043643263757,0.23092979127134725,0.9387096774193548,0.06129032258064516,0.5229866932907414,0.06713093078219011,0.2677268862994966
D,0.7914214681888004,0.5680122183217053,0.5400378908036214,0.8396584440227703,0.2252371916508539,0.9394686907020873,0.060531309297912714,0.5161011206667806,0.04303651497628292,0.26147073498042595
