model,temperature,uncalibrated_nll,calibrated_nll,uncalibrated_ece,calibrated_ece,uncalibrated_brier,calibrated_brier,uncalibrated_qwk,calibrated_qwk,uncalibrated_macro_f1,calibrated_macro_f1
EfficientNet-B4,0.5668804534855836,1.0422744606258219,0.9944451658851369,0.15603679263838827,0.07110261804852826,0.584668505821191,0.5590435937552745,0.520873459093179,0.520873459093179,0.4180221930757824,0.4180221930757824
DeiT-III,0.660285636646945,0.7252393392881762,0.6659474753522339,0.15480814534184592,0.03814620778528732,0.3727248379230187,0.34122365230010443,0.6821606495998016,0.6821606495998016,0.5128793378044569,0.5128793378044569
M07,1.0107263921916896,0.5881225334380377,0.5880876486181057,0.028011572955397707,0.02950365958569314,0.30611021679809103,0.3063168184505478,0.7619049796957531,0.7619049796957531,0.5518902573505498,0.5518902573505498
M09,1.0177247828675966,0.5830204604942723,0.5829212778192312,0.031105189863139916,0.03525685475042969,0.2994755050500519,0.29986047157654455,0.7484632630050575,0.7484632630050575,0.5558250363004786,0.5558250363004786
M10,1.0135084300471375,0.5835234349714551,0.5834656659748462,0.031145129450672264,0.031666346956254254,0.3034008465841826,0.30363903241631945,0.7523200474059573,0.7523200474059573,0.5421773470496181,0.5421773470496181
M11,1.4128051644889343,0.5806496444575721,0.5384329100287649,0.06028396759979415,0.024310395650288183,0.27828342698667896,0.274077977866987,0.7694803786764735,0.7694803786764735,0.5476663200726931,0.5476663200726931
M12,0.8952089177782394,0.5642157521619258,0.5607907921544504,0.055653690273141286,0.03565441989198457,0.29206394790920476,0.2881676656220438,0.7853709591080099,0.7853709591080099,0.5670320158216526,0.5670320158216526
