model,temperature,uncalibrated_nll,calibrated_nll
EfficientNet-B4,0.5668804534855836,1.0422744606258219,0.9944451658851369
DeiT-III,0.660285636646945,0.7252393392881762,0.6659474753522339
M07,1.0107263921916896,0.5881225334380377,0.5880876486181057
M09,1.0177247828675966,0.5830204604942723,0.5829212778192312
M10,1.0135084300471375,0.5835234349714551,0.5834656659748462
M11,1.4128051644889343,0.5806496444575721,0.5384329100287649
M12,0.8952089177782394,0.5642157521619258,0.5607907921544504
