model,n_high_confidence_errors,mean_confidence_on_wrong,max_confidence_on_wrong
EfficientNet-B4,54,0.5056492384957305,0.9898875910886044
DeiT-III,337,0.6912293783889949,0.9996407904307162
M07,290,0.6691577802024967,0.9933093710402454
M09,300,0.6880169610527805,0.9945724484772686
M10,307,0.6784529586563675,0.9946172390814475
M11,333,0.7001512409990611,0.9776838253108165
M12,302,0.6745243595524455,0.9920843310523612
M13-D (ensemble),273,0.6893067936449997,0.979819847170536
