epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.3324825764963046,1.168479893397561,0.4234523712682014,0.4842504743833017,0.42430825346261597,0.5051961242907652,0.4208080464618429,0.3553646405989362,0.5628127931795401,0.4240691203614385,5e-06
2,0.8373098023436412,0.9250289056739952,0.6401203937200033,0.6337760910815939,0.6422697356299308,0.5140769466066262,0.6390224116550801,0.4754657121258088,0.8162321600768723,0.5806279125656495,1.9999999999999998e-05
3,0.509235464555878,1.1039638635555753,0.7889856015618645,0.5311195445920304,0.788034010123301,0.5006876573227794,0.7870599069603941,0.4411434084591514,0.8959181571187778,0.46450812716276557,3.5e-05
4,0.34292957486588876,0.8350192365429207,0.8669568046855934,0.7129032258064516,0.8669235900219437,0.4612712008795519,0.8665297037460593,0.4721081596153575,0.9268632388338715,0.6067444178723321,5e-05
5,0.22979548237723874,0.8958050415230883,0.9133653298625234,0.7519924098671726,0.9141516214519809,0.49939549026694935,0.9138773887062521,0.49519197706769996,0.9454640403410688,0.668554985189144,4.9745536047023324e-05
6,0.16254114531578184,0.9895135951901749,0.9397624664443179,0.7218216318785579,0.9400242561473575,0.49299410101891805,0.9399021115790278,0.5012621650875904,0.9598516550292414,0.6386033426073575,4.898732434036244e-05
7,0.12165367475660883,1.2383142246467111,0.957821524444806,0.7125237191650854,0.9576931968211302,0.48691741421415563,0.957642098193124,0.4757534972954602,0.970362176064353,0.5970874725132478,4.774079988386296e-05
8,0.10791570731725601,1.2145167615201033,0.9635564955665826,0.7901328273244782,0.9635836278103469,0.45899190534856354,0.9635086648941362,0.4880686519374929,0.9750147772760822,0.6528727243298268,4.6031338320779534e-05
9,0.08004485851459879,1.3589397389703277,0.9744570080533637,0.7643263757115749,0.9744894367747234,0.4691415065144464,0.9744579675478668,0.4726165783057952,0.9829454066503285,0.646757075353826,4.3893739358856455e-05
10,0.06691012970747302,1.585570457809564,0.9785650370129342,0.7506641366223908,0.9786578397219603,0.4899445350552766,0.978598003427442,0.5054731470979597,0.9846120073953103,0.6424483367805708,4.137151834863213e-05
11,0.05393135941834561,1.8880176274102372,0.9846660701212072,0.7132827324478178,0.9844730308114025,0.5087129704349685,0.9844709361544097,0.502644379104283,0.9895115486019997,0.6328290770732782,3.851602043638994e-05
12,0.05275794463444478,1.9027886940360748,0.9863336858374685,0.7370018975332069,0.9864363987042862,0.5113616051166514,0.9863921008695906,0.4951370089435402,0.9894191758956951,0.6251480337000102,3.5385375325047166e-05
