epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.2971098062263438,1.1603141600990656,0.7195558447897177,0.7483870967741936,0.22242029966387483,0.2533911599789376,0.2156520853027731,0.24582789759719142,0.19461584501512563,0.41572107871234343,5e-06
2,1.0594449533377033,0.9812011126322809,0.7370861465874888,0.7992409867172675,0.4208101666581784,0.44046329705721343,0.42879899336448346,0.4657240360088797,0.5677561946469305,0.6503252463000886,1.9999999999999998e-05
3,0.9345345699805565,0.9032629005370602,0.7742211014398438,0.7954459203036053,0.5137877427655292,0.5448823881504372,0.5225332973620223,0.5278239529484774,0.6755116314896278,0.7127538536748301,3.5e-05
4,0.8749603668774327,0.8835248658281576,0.775319287399333,0.7421252371916508,0.5521438822134346,0.5593405383172301,0.5565647092084288,0.5439796666571455,0.7117328402194445,0.7163992342923761,5e-05
5,0.8007598933983129,0.9318983387449434,0.7908159114943464,0.8083491461100569,0.5986119897951093,0.47965449217885664,0.6022004908056549,0.5119248198774725,0.7466773941346616,0.7342814909949847,4.9745536047023324e-05
6,0.7372983294013149,0.9186340902064285,0.8011469942243553,0.801707779886148,0.6403698306310989,0.5509280032245059,0.6398901841380031,0.5595628262936276,0.7758743787102325,0.7504578942670929,4.898732434036244e-05
7,0.6577770196323834,0.9782695131238542,0.8130643455625153,0.6759013282732448,0.6956829395000768,0.586722921563121,0.6895679589084958,0.5062016057022886,0.7925280323603542,0.6534196291537517,4.774079988386296e-05
8,0.5673959271837307,1.0291090212465464,0.8393394614821443,0.7535104364326376,0.7510721861256482,0.5611038289825445,0.7369946996668835,0.556136984984483,0.8236180349350372,0.7369316644402416,4.6031338320779534e-05
9,0.47258666154085976,1.1211521376468652,0.8645163914422842,0.7409867172675522,0.8086010314930492,0.5227339892977471,0.7888298157561691,0.5390103267249851,0.8491885483331529,0.7049501363008832,4.3893739358856455e-05
10,0.38973479997071203,1.2566965074195355,0.8865207841861222,0.789753320683112,0.8465641192984995,0.5357890446069123,0.8280632587114338,0.5598169801760412,0.8716049469256204,0.7271224548411412,4.137151834863213e-05
11,0.3212443452583302,1.4778196365150147,0.9065728463353128,0.7937381404174573,0.8775789119409154,0.5045054835102446,0.8602641879797105,0.52967940668674,0.8919320118836769,0.7212556019131016,3.851602043638994e-05
12,0.24732842045807135,1.855241460863508,0.9269096233628894,0.8100569259962049,0.9116954740666046,0.4840745872377772,0.8955839828602766,0.5234276181748776,0.9090736437742741,0.7096139509734243,3.5385375325047166e-05
13,0.20138506532742098,1.7537834980003748,0.9414707557146343,0.7802656546489564,0.9279915765402832,0.5039117572223221,0.917531602287841,0.5286860040455461,0.923126162800419,0.7139803707563221,3.2043313921035743e-05
