epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.3656562211834888,1.209890039437636,0.7253314894655495,0.7519924098671726,0.22333963333782472,0.2827041154982618,0.21678493400411777,0.29312761472252996,0.1875196814639597,0.4524627952406496,5e-06
2,1.0863647623367794,0.9754435218262718,0.7484340681688766,0.7798861480075902,0.42544275450716607,0.48525177977184786,0.4439866393228481,0.4882309910091188,0.588997633545602,0.6704900370036142,1.9999999999999998e-05
3,0.9656696297906543,0.939764784273658,0.7748312047506711,0.8045540796963947,0.5180653405047768,0.4869862538046371,0.5268587158727083,0.5134122781526009,0.6883707914922768,0.7119004602584873,3.5e-05
4,0.9016946933543547,0.8920419048086742,0.7802001138859513,0.7922201138519924,0.5506719732200146,0.5220922060215599,0.5620212881277553,0.548045536112964,0.7188065236513232,0.7436275747668086,5e-05
5,0.8252193726836194,0.9430401896842291,0.7948832668998617,0.8132827324478178,0.6035544708335532,0.4646856142549197,0.6095149609961406,0.5059539924101624,0.7565638819395315,0.7250263173748542,4.9745536047023324e-05
6,0.7458579882519982,0.9635897955586833,0.8080208248596762,0.6351043643263757,0.65158970651053,0.5865429192361848,0.6545208055620655,0.5249844117881939,0.7873651809914117,0.6871833728353851,4.898732434036244e-05
7,0.6594450827641007,0.9762743692018049,0.8251037175628406,0.7889943074003795,0.705523581330005,0.5349878622618397,0.6996826342832232,0.5524749623851176,0.8059485900694592,0.7495991188815954,4.774079988386296e-05
8,0.5644331266452771,1.0044692402998907,0.8442609615228178,0.7432637571157495,0.754955471377846,0.5626723022373451,0.7430998465277636,0.554071288050714,0.8284169678119283,0.7272279374406444,4.6031338320779534e-05
9,0.46964779059570605,1.1528257007616973,0.8679736435369723,0.7660341555977229,0.8099019774961361,0.5175886671905705,0.7944052812695241,0.5156770902910891,0.8512868708377239,0.7153121281008359,4.3893739358856455e-05
10,0.3797564371252995,1.2660289200704962,0.8951842511998699,0.6802656546489564,0.8586290353694259,0.5283645961034499,0.8427729561070352,0.5099546360720901,0.8820141092825411,0.643763609616328,4.137151834863213e-05
11,0.304368371357733,1.4572779424728886,0.9185308712275279,0.7527514231499052,0.8942754014597476,0.5609453754485697,0.8817439718562848,0.5380398228754317,0.9022164269534838,0.7223748886290846,3.851602043638994e-05
12,0.24625435401501816,1.7292349176117319,0.9324005531603351,0.7901328273244782,0.9154531511645059,0.4875740133109673,0.9039390020358237,0.5105836544942224,0.9131425232634244,0.7065873252535662,3.5385375325047166e-05
13,0.1919927437633899,1.9325751454825646,0.9481818921337346,0.7686907020872865,0.9330438908751322,0.5226669301823627,0.9248143056742473,0.5195406673899658,0.9337936372465339,0.6954771151609729,3.2043313921035743e-05
14,0.1535299915407769,2.0723980050385564,0.9594891401610672,0.7724857685009487,0.9496577288560099,0.5277538489769226,0.943663673270712,0.5252439704266472,0.9474061057139396,0.7008968260181365,2.8557870956832125e-05
