epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.3858531382224892,1.215598013369363,0.723582526641178,0.7436432637571158,0.2203667860192417,0.26069779864931525,0.2120620585788132,0.2549043720921494,0.17457876105921977,0.422796789163858,5e-06
2,1.0984248864605148,1.0065368437450344,0.7444073863174164,0.7834914611005692,0.41627549136616226,0.4558891997489039,0.43054478498608406,0.4704430783502235,0.581095827114448,0.6589409098072658,1.9999999999999998e-05
3,0.9812809079800631,0.9446525078797023,0.7651915724395998,0.8028462998102467,0.4979055255964388,0.5176412361235463,0.5114767127489553,0.5155291149823322,0.6700431313904142,0.7179443018756343,3.5e-05
4,0.9180705421849301,0.9315924513950746,0.7782071097372488,0.7098671726755218,0.5420142574753142,0.5235091005955905,0.5544690344288584,0.5386663449392375,0.709340879824685,0.6997269830916819,5e-05
5,0.8467232957815684,0.9373040478867417,0.7890262751159196,0.7309297912713473,0.5873907589646654,0.5728297364420311,0.5972475421961425,0.5355258551444327,0.7398167697786242,0.709636572358606,4.9745536047023324e-05
6,0.7753682427843467,0.969679835987272,0.7956153908728545,0.8127134724857685,0.6320644921211578,0.5315478967995169,0.633953749502254,0.5558250363004786,0.766759894321725,0.7484632630050575,4.898732434036244e-05
7,0.6783430740354817,1.1156398855079057,0.8150980232652729,0.8009487666034155,0.6885224341078715,0.4688768934103026,0.6836892056095454,0.5180898459744658,0.7968164414245555,0.7166085770779813,4.774079988386296e-05
8,0.5877524043985586,1.1399802073581848,0.8393394614821443,0.7859582542694498,0.7490230382922921,0.48794517268919213,0.7381930995488932,0.4931223714680639,0.8183960242340873,0.7071208718353437,4.6031338320779534e-05
9,0.4960667136739911,1.2468672104080896,0.8621573253070853,0.7933586337760911,0.8019225434377519,0.4841927670358811,0.7876312159572829,0.5234503605112679,0.8446702105255541,0.7151444163810172,4.3893739358856455e-05
10,0.39998659700152833,1.3752960735299329,0.8877816643618319,0.7688804554079697,0.8537236925065755,0.529943540819378,0.8366915035591017,0.5327047861852849,0.8707405787203482,0.7160647525333743,4.137151834863213e-05
11,0.3232035179869677,1.5583711069494317,0.9078744000650777,0.7789373814041746,0.8815503669718059,0.5471573327963993,0.8656492265832855,0.544604556249216,0.8886469950747409,0.726206724260966,3.851602043638994e-05
12,0.26488835453613774,1.7432404467457838,0.9266655820385585,0.7815939278937382,0.9104757280534898,0.4702268281713874,0.8964583311901159,0.5085151932464955,0.904198342132316,0.7000763064472753,3.5385375325047166e-05
13,0.21583396693596002,1.765195698982398,0.9421215325795168,0.7442125237191651,0.9276431926884234,0.5182387659553678,0.9168631015316407,0.5232568505916179,0.9257406889729216,0.6829299474624368,3.2043313921035743e-05
