model_a,model_b,both_correct,both_wrong,a_correct_b_wrong,a_wrong_b_correct,agreement_rate,cohens_kappa,error_jaccard_similarity
EfficientNet-B4,DeiT-III,2672,806,321,1471,0.6130929791271347,0.27048567982085714,0.3102386451116243
EfficientNet-B4,M12,2749,693,244,1584,0.6155597722960152,0.2796307873498626,0.27489091630305434
EfficientNet-B4,M13-D,2764,632,229,1645,0.6070208728652752,0.24592011064640718,0.25219473264166004
DeiT-III,M12,3916,710,227,417,0.8502846299810247,0.5783604118368935,0.5243722304283605
DeiT-III,M13-D,3996,714,147,413,0.874573055028463,0.615196951595701,0.5604395604395604
M12,M13-D,4206,734,127,203,0.9246679316888046,0.7783802678897722,0.6898496240601504
