epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate
1,1.3662689186758092,1.2107992693640475,0.7204506629789311,0.747438330170778,0.223131329020633,0.25299832171443326,0.21620168133019915,0.24354790635097362,0.19870856718721674,0.4219987235767667,5e-06
2,1.1007444846235415,0.9978245502404968,0.7442446921011958,0.8018975332068311,0.4140120853552964,0.4625714690564517,0.4291016495487881,0.4854868351890368,0.5797780909716577,0.6777351610160613,1.9999999999999998e-05
3,0.9668377375744304,0.9375093785816171,0.7752379402912226,0.8020872865275143,0.5116061843377725,0.5282414106679385,0.52275144669601,0.523153809426881,0.6794817092628833,0.7147909956049987,3.5e-05
4,0.8993403896729416,0.9127002087218485,0.7812169527373302,0.7702087286527515,0.5556466103752067,0.5277609888823125,0.5631598791799826,0.5356500702969471,0.7203917441007581,0.7303711622245801,5e-05
5,0.8190951868097747,0.9756557089554064,0.7938257544944277,0.8070208728652751,0.6061770296330927,0.4708044301361509,0.6114331230211663,0.5112089460848621,0.7583160794504307,0.7384810491601314,4.9745536047023324e-05
6,0.7525083746454708,0.9518406744247596,0.8046449198730985,0.8034155597722961,0.6390787518138129,0.5506652595025474,0.641195814974603,0.5518902573505498,0.7838805398326233,0.7619049796957531,4.898732434036244e-05
7,0.6689622667413164,1.0804468009684525,0.8227853249816969,0.6588235294117647,0.7030871558985136,0.5894744859444023,0.7025384164567055,0.48832121299328285,0.8052184757999761,0.6276347339246592,4.774079988386296e-05
8,0.5779197008474688,1.0516867651885102,0.8423493044822257,0.7569259962049336,0.7542182541980376,0.5333314701023044,0.74265274365902,0.5471515905904096,0.8322076370527698,0.7301817972368136,4.6031338320779534e-05
9,0.47707571066357785,1.1332924434310798,0.8669568046855934,0.7563567362428842,0.80722821333766,0.505743850330697,0.7911045732378393,0.5317610200511388,0.8524170912306942,0.7246061885619086,4.3893739358856455e-05
10,0.39280582397490105,1.276722324098084,0.8931912470511674,0.7481973434535104,0.8485169445845507,0.5166155410599023,0.8350542293055488,0.5332776564687458,0.8806247407573451,0.7136149192923866,4.137151834863213e-05
11,0.3221187448032236,1.5107642932001508,0.911657040592207,0.7766603415559772,0.8817644650604018,0.5103898366626713,0.8672118829542177,0.5222188780381442,0.8987795069339357,0.7086946927590321,3.851602043638994e-05
12,0.25365318718079116,1.7192674035139284,0.9306109167819084,0.7956356736242884,0.9099942176152787,0.5037044536272768,0.8963152629937052,0.5297227845055281,0.9161136833880943,0.7179621177204911,3.5385375325047166e-05
13,0.2071750767624166,1.8280229860736479,0.9443179044984951,0.7703984819734345,0.9312831076115096,0.5042594728653434,0.9217223485069704,0.52523896087416,0.9293165060156556,0.7070835264934608,3.2043313921035743e-05
